Name,Type,Alignment,AC,HP,HP Roll,Speed,Ability Scores,Saves,Skills,Damage Vulnerabilities,Damage Resistence,Damage Immunities,Condition Immunities,Pper,Senses,Languages,CR,Traits,Actions,Source
Bugbear,Medium Humanoid (Goblinoid),Chaotic Evil,16,27,5d8+5,30,"15,14,13,8,11,9",None,"Stealth+6,Survival+2",None,None,None,None,10,darkvision 60 ft.,"Common, Goblin",1,"<b>Brute</b> When the bugbear hits with a melee attack, the attack deals one extra die of the weapon's damage to the target (included below)<br><br><b>Surprise Attack.</b> If the bugbear surprises a creature and hits it with an extra attack during the first round of combat, the target takes an extra 7 (2d6) damage from the attack.","<b>Morningstar</b> <i>Melee Weapon Attack:</i> +4 to hit, reach 5 ft., one target. <i>Hit:</i> 11 (2d8 + 2) piercing damage.<br><br><b>Javalin</b> <i>Melee or Ranged Weapon Attack:</i> +4 to hit, reach 5 ft. or range 30 ft./120ft., one target. <i>Hit:</i> 5 (1d6 + 2) piercing damage, or 9 (2d6 + 2) piercing damage in melee.","Monster Manual,Lost Mines of Phandelver"
Goblin,Small Humanoid (Goblinoid),Neutral Evil,"15 (leather armor, shield)",7,2d6,30,"8,14,10,10,8,8",None,Stealth+6,None,None,None,None,9,darkvision 60 ft.,"Common, Goblin",0.25,<b>Nimble Escape</b> The goblin can take the Disengage or Hide action as a bonus action on each of its turns.,"<b>Scimitar</> <i>Melee Weapon Attack:</i> +4 to hit, reach 5 ft., one target. <i>Hit:</i> 5 (1d6 + 2) slashing damage.<br><br><b>Shortbow</b> <i>Ranged Weapon Attack:</i> +4 to hit, range 80 ft./320 ft., one target. Hit: 5 (1d6 + 2) piercing damage.","Monster Manual,Lost Mines of Phandelver"
Solar,Large Celestial,Laweful Good,21 (natural armor),243,18d10 + 144,"50 ft., fly 150 ft.","26,22,26,25,25,30","Int+14,Wis+14,Cha+17",Perception+14,None,"radient; bludgeoning, piercing, and slashing from nonmagical weapons","necrotic, poison","charmed, exhaustion, frightened, poisoned",24,truesight 120 ft.,"all, telepathy 120 ft.",21,"<b>Angelic Weapons.</b> The solar's weapon attacks are magical. When the solar hits with any weapon, the weapon deals and extra 6d8 radiant damage (included in the attack).<br><br><b>Divine Awareness. </b>The solar knows if he hears a lie.<br><br><b>Innate Spellcasting. </b>The solar's spellcasting is Charisma (spell save DC 25). It can innately cast the following spells, requiring no material components:<br><br><i>At will:</i> detect evil and good, invisibility (self only)<br><i>3/day each:</i> blade barrier, dispel evil and good, resurrection<br> <i>1/day each:</i> commune, control weather<br><br><b>Magic Resistance. </b>The solar has advantage on saving throws against spells and other magical effects.","<b>Multiattack.</b> The solar makes two greatsword attacks.<br><br><b>Greatsword.</b> <i>Melee Weapon Attack:</i> +15 to hit, reach 5 ft., one target. <i>Hit:</i> 22 (4d6+8) slashing damage plus 27 (6d8) radient damage.<br><br><b>Slaying Longbow.</b> <i>Ranged Weapon Attack:</i> +13 to hit, range 120/600 ft., one target. <i>Hit:</i> 15 (2d8 + 6) piercing damage plus 27 (6d8) radiant damage. If the target is a creature that has 100 hit points or fewer, it must succeed on a DC 15 Constitution saving throw or die.<br><br><b>Flying Sword.</b> The solar releases its greatsword to hover magically in an unoccupied space within 5 feet of it. If the solar can see the sword, the solar can mentally conmmad it as a bonus action to fly up to 50 feet and either make one attack against a target or return to the solar's hands. If the hovering sword is targeted by any effect, the solar is considered to be holding it. The hovering sword falls if the solar dies.<br><br><b>Healing Touch (4/Day).</b> The solar touches another creature. The target magically regains 40 (8d8 + 4) hit points and is freed from any curse, disease, poison, blindness, or deafness.(L)Legendary Butts","Monster Manual,Lost Mines of Phandelver"
Commoner,Medium Humanoid (Any Race),any alignment,10,4,1d8,30,"10,10,10,10,10,10",None,None,None,None,None,None,10,None,any one (usually Common),0,None,"<b>Club. </b><i>Melee Weapon Attack:</i> + to hit, reach 5 ft., one target. <i>Hit:</i> 2 (1d4) bludgeoning damage.",Lost Mines of Phandelver
Cultist,Medium Humanoid (Any Race),any nongood alignment,12 (leather armor),9,2d8,30,"11,12,10,10,11,10",None,"Deception +2, Religion +2",None,None,None,None,10,None,any one (usually Common),0.125,<b>Devotion.</b> The cultist has advantage on saving throws againts being charmed or frightened.,"<b>Scimitar</b> <i>Melee Weapon Attack:</i> +3 to hit, reach 5 ft., one target. <i>Hit:</i> 4 (1d6 +1) slashing damage.",Lost Mines of Phandelver
Doppelganger,Medium Monstrosity (shapechanger),Neutral,14,52,8d8 + 16,30,"11,18,14,11,12,14",None,"Deception +6, Insight +3",None,None,None,charmed,11,darkvision 60,Common,3,"<b>Shapechanger</b> The doppelganger can use its action to polymorph into a Small or Medium humanoid it has seen, or back into its natural form. Its statistics, other than its size, are the same in each form. Its equipment is not transformed. If slain, the doppelganger reverts to its natural form.<br><br><b>Ambusher</b> The doppelganger has advantage on attack rolls against any creature it has surprised.<br><br><b>Surprise Attack.</b> If the doppelganger surprises a creature and hits it with an attack during the first round of combat, the target takes an additional 10 (3d6) damage from the attack. ","<b>Multiattack.</b> The dopperlganger makes two melee attacks.<br><br><b>Slam.</b><i>Melee Weapon Attack:</i> +6 to hit, reach 5ft., one target. <i>Hit:</i> 7 (1d6 + 4) bludgeoning damage.<br><br><b>Read Thoughts.</b> The doppelganger magically reads the surface thoughts of one creature within 60 feet of it. The effect can penetrate barriers, but 3 feet of wood or dirt, 2 feet of stone, 2 inches of metal, or a thin sheet of lead blocks it. While the target is within range, the doppelganger can continue reading tis thoughts as long as the doppelganger's concentration isn't broken. While reading the target's mind, the doppelganger has advantage on Wisdom (Insight) and Charisma (Deception, Intimidation, and Persuasion) checks against the target.","Monster Manual,Lost Mines of Phandelver"
Evil Mage,Medium Humanoid (human),Laweful Evil,12,22,5d8,30,"9,14,11,17,12,11","Int+5, Wis+3","Arcana +5, History +5",None,None,None,None,11,None,"Common, Draconic, Dwarvish, Elvish",1,"<b>Spellcasting.</b> The mage is a 4th-level spellcaster that uses Intelligence as its spellcasting ability (spell save DC 13; +5 to hit with spell attacks). The mage knows the following spells from the wizard's spell list:<br><br>- Cantrips (at will): <i>light, mage hande, shocking grasp</i><br>- 1st Level (4 slots): <i>charm person, magic missile</i><br>- 2nd Level (3 slots): <i>hold person, misty step</i>","<b>Quarterstaff. </b><i>Melee Weapon Attack:</i> +1 to hit, reach 5 ft., one target. <i>Hit:</i> 3 (1d8 - 1) bludgeoning damage.",Lost Mines of Phandelver
Flameskull,Tiny Undead,Neutral Evil,13,40,9d4 + 15,"0 ft., fly 40 ft.","1,17,14,16,10,11",None,"Arcana +5, Perception +2",None,"lighting, necrotic, piercing","cold, fire, poison","charmed, frightened, paralyzed, poisoned",12,darkvision 60 ft.,Common,4,"<b>Illumination. </b>The flameskull sheds either dim light in a 15-foot radius, or bright light in a 15-foot radius and dim light for an additional 15 feet. It can switch between the options as an action.<br><br><b>Magic Resistance.</b> The flameskull has advantage on saving throws against spells and other magical effects.<br><br><b>Spellcasting.</b> The flameskull is a 5th-level spellcaster that uses Intelligence as its spellcasting ability (spell save DC 13, +5 to hit with spell attacks). It needs only verbal components to cast its spells. THe flameskull knows the following spells from the wizard's spell list:<br>- Cantrip (at will): <i> mage hand</i><br>- 1st Level (4 slots): <i> charm person, magic missile</i><br>- 2nd Level (3 slots): <i>hold person, misty step</i>","<b>Multiattack </b>The flameskull makes two attacks with its Fire Ray.<br><br><b>Fire Ray.</b><i> Ranged Spell Attack:</i> + 5 to hit, range 30 ft., one target. <i>Hit:</i> 10 (3d6) fire damage.  ","Monster Manual,Lost Mines of Phandelver"
Ghoul,Medium Undead,Chaotic Evil,12,22,5d8,30 ft.,"13,15,10,7,10,6",None,None,None,None,poison,"charmed, poisoned",10,darkvision 60 ft.,Common,1,None,"<b>Bite.</b><i> Melee Weapon Attack:</i> +2 to hit, reach 5 ft., one target. <i>Hit:</i> 9 (2d6 + 2) piercing damage.<br><br><b>Claws. </b><i>Melee Weapon Attack:</i> +4 to hit, reach 5 ft., one target. <i>Hit:</i> 7 (2d4  + 2) slashing damage. If the target is a creature than an elf or undead, it must succeed on a DC 10 Constitution saving throw or be paralized for 1 minute. The creature can repeat the saving throw at the end of each of its turns, ending the effect early on a success. ","Monster Manual,Lost Mines of Phandelver"
Giant Spider,Large Beast,Unaligned,14 (natural armor),26,4d10 + 4,"30 ft., climb 30 ft.","14,16,12,2,11,4",None,Stealth +7,None,None,None,None,10,"blindsight 10 ft., darkvision 60 ft.",None,1,"<b>Spider Climb. </b>The spider can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.<br><br><b>Web Sense. </b>While in contact with a web, the spider knows the exact location of any other creature in contact with the same web.<br><br><b>Web Walker. </b>The spider ignores movement restrictions caused by webbing of any sort.","<b>Bite. </b><i>Melee Weapon Attack: </i>+5 to hit, reach 5 ft., one creature. <i>Hit:</i> 7 (1d8 + 3) piercing damage, and the target must make a DC 11 Constitution saving throw, taking 9 (2d8) poison damage on a failed save, or half as much damage on a successful one. If the poison reduces the target to 0 hit points, the target is stable but poisoned for 1 hour, and paralyzed while poisoned in this way.<br><br><b>Web (Recharge 5-6).</b><i>Ranged Weapon Attack:</i> +5 to hit, range 30ft./60 ft., one creature. <i>Hit:</i> the target is restrained by webbing. As an action, the restrained target can make a DC 12 Strength check, bursting the webbing on a success. THe webbing can also be attacked and destroyed (AC 10; hp 5; vulnerable to fire damage; immune to bludgeoning, poison, and psychic damage).","Players Handbook,Lost Mines of Phandelver"
